Course Code,Course Title,Day and Time,Instructor,Session,Cr Hrs
FINN 242 LEC 1,"Islamic Capital Markets and
Instruments",TR 2:00PM-3:15PM,Talha Farrukh,16W,3.0
FINN 243 LEC 1,"Fintech Revolution: Market Disruption
and Emerging Opportunities",MW 9:30AM-10:45AM,"Syed Hashim Mahmood
Ali",16W,3.0
FINN 243 LEC 2,"Fintech Revolution: Market Disruption
and Emerging Opportunities",MW 5:00PM-6:15PM,"Syed Hashim Mahmood
Ali",16W,3.0
FINN 321 LEC 1,Econometrics,TR 9:30AM-10:45AM,Syed Zahid Ali,16W,3.0
FINN 341A LEC 1,Financial Institutions and Markets,MW 9:30AM-10:45AM,Syed Aun Raza Rizvi,16W,3.0
FINN 372 LEC 1,Actuarial Sciences and Insurance,MW 2:00PM-3:15PM,Nauman Afzal Cheema,16W,3.0
FINN 372 LEC 2,Actuarial Sciences and Insurance,TR 2:00PM-3:15PM,Nauman Afzal Cheema,16W,3.0
FINN 400 LEC 1,Applied Corporate Finance,MW 3:30PM-4:45PM,Syed Aun Raza Rizvi,16W,3.0
FINN 400 LEC 2,Applied Corporate Finance,MW 5:00PM-6:15PM,Syed Aun Raza Rizvi,16W,3.0
FINN 453 LEC 1,Financial Derivatives,TR 11:00AM-12:15PM,Ferhana Ahmed,16W,3.0
FINN 454 LEC 1,Portfolio Management,MW 11:00AM-12:15PM,TBA,16W,3.0
FINN 7001 LEC 1,Corporate Finance,F 8:00AM-11:00AM,"Choudhry Tanveer
Shehzad",16W,3.0
FINN 7501 LEC 1,"Investments Theory and Financial
Markets",M 9:30AM-12:30PM,"Syed Kumail Abbas
Rizvi",16W,3.0
FINN 7801 LEC 1,Econometrics,W 12:30PM-3:30PM,Ummad Mazhar,16W,3.0
FMG 6201 LEC 1,Corporate Finance and Valuation,FSU 2:00PM-4:00PM,Fazal Jawad Seyyed,16W,3.0
FMG 6301 LEC 1,Investments and Portfolio Management,FSU 4:15PM-6:15PM,"Syed Kumail Abbas
Rizvi",16W,3.0
FMG 6302 LEC 1,Derivatives and Fixed Income,FSU 10:45AM-12:45PM,Ferhana Ahmed,16W,3.0
FMG 6401 LEC 1,"Entrepreneurial Finance and Venture
Capital",FSU 8:30AM-10:30AM,Salman Khan,16W,3.0
GSL 103 SEM 1,"Chinese Language for Beginners (HSK
Level 2)",MW 8:00AM-9:50AM,Hui Qi,16W,4.0
GSS 3602 LEC 1,"Gender, Technology, and the Digital
World",TR 12:00PM-1:50PM,TBA,16W,4.0
GSS 366 LEC 1,"Gender, Nationalism, and Politics:
Unpacking media master narratives in
South Asia",MW 8:00AM-9:50AM,Maria Amir,16W,4.0
POL 365 LEC 1,"Gender, Nationalism, and Politics:
Unpacking media master narratives in
South Asia",MW 8:00AM-9:50AM,Maria Amir,16W,4.0
GSS 416 LEC 1,Gender Trouble,TR 3:30PM-5:20PM,Maria Amir,16W,4.0
HIST 102 LEC 1,Introduction to World History,MW 2:00PM-3:50PM,Hassan Haider Karrar,16W,4.0
HIST 127 LEC 1,A Peoples History of Pakistan,TR 12:00PM-1:50PM,Ilyas Ahmad Chattha,16W,4.0
HIST 218 LEC 1,"Nineteenth Century French Art:
Neoclassicism to Impressionism",TR 2:00PM-3:50PM,"Nadhra Shahbaz Naeem
Khan",16W,4.0
HIST 2211 LEC 1,Modern East Asian History,MW 10:00AM-11:50AM,Hassan Haider Karrar,16W,4.0
HIST 2213 LEC 1,"Foundations of Modern South Asian
History",MW 4:00PM-5:50PM,Ali Usman Qasmi,16W,4.0
HIST 243 LEC 1,"British Raj and Frontier
Governmentality",TR 12:00PM-1:50PM,Jahanzeb Baloch,16W,4.0
POL 246 LEC 1,"British Raj and Frontier
Governmentality",TR 12:00PM-1:50PM,Jahanzeb Baloch,16W,4.0
HIST 252 LEC 1,"The Remaking of Empire and the
Formation of the “Middle East”",TR 4:00PM-5:50PM,Navid Zarrinnal,16W,4.0
HIST 3219 LEC 1,Capitalism: A History,MW 12:00PM-1:50PM,Waqar Zaidi,16W,4.0
POL 3214 LEC 1,Capitalism: A History,MW 12:00PM-1:50PM,Waqar Zaidi,16W,4.0
HIST 343 LEC 1,Progress and its Discontents,TR 12:00PM-1:50PM,"Mian Muhammad
Nauman Faizi",16W,4.0
REL 316 LEC 1,Progress and its Discontents,TR 12:00PM-1:50PM,"Mian Muhammad
Nauman Faizi",16W,4.0
HIST 412 LEC 1,"Curating Artefacts: Studying Lahore
Museum’s Jain Collection",MW 2:00PM-3:50PM,"Nadhra Shahbaz Naeem
Khan",16W,4.0
REL 423 LEC 1,"Curating Artefacts: Studying Lahore
Museum’s Jain Collection",MW 2:00PM-3:50PM,"Nadhra Shahbaz Naeem
Khan",16W,4.0
HMI 6101 LEC 1,Health Systems Management,FSU 2:00PM-4:00PM,TBA,16W,3.0
HMI 6102 LEC 1,"Healthcare Policy, Politics and Law",FSU 8:30AM-10:30AM,TBA,16W,3.0
HMI 6201 LEC 1,"Innovation and Entrepreneurship in
Healthcare",FSU 10:45AM-12:45PM,Ehsan Ul Haque,16W,3.0
LANG 1202 LEC 1,Arabic for Quran,WF 2:30PM-4:20PM,Hafiz Abdul Qadeer,16W,4.0
LANG 1203 LEC 1,Hindi for Non-Native Speakers,MW 3:00PM-4:50PM,TBA,16W,4.0
LANG 1204 LEC 1,Kashmiri I,MW 8:00AM-9:50AM,TBA,16W,4.0
LANG 122 LEC 1,Introduction to Balochi Language,TR 2:00PM-3:50PM,Jahanzeb Baloch,16W,4.0
LANG 123 LEC 1,Introduction to Punjabi Language,MW 11:00AM-12:50PM,Zahid Hussain,16W,4.0
LANG 124 LEC 1,Introduction to Arabic Language,WF 4:30PM-6:20PM,Hafiz Abdul Qadeer,16W,4.0
LANG 127 LEC 1,Introduction to Persian Language,TR 12:00PM-1:50PM,Samina Arifa,16W,4.0
LANG 127 LEC 2,Introduction to Persian Language,TR 2:30PM-4:20PM,Samina Arifa,16W,4.0
LANG 128 LEC 1,Sindhi for Non-Sindhi Speakers,MW 4:00PM-5:50PM,Ashok Kumar Khatri,16W,4.0
LANG 128 LEC 2,Sindhi for Non-Sindhi Speakers,TR 4:00PM-5:50PM,Ashok Kumar Khatri,16W,4.0
LANG 129 LEC 1,Pashto for Non-Native Speakers,MW 11:00AM-12:50PM,Imad .,16W,4.0
LANG 129 LEC 2,Pashto for Non-Native Speakers,TR 11:00AM-12:50PM,Imad .,16W,4.0
LANG 2207 LEC 1,"Enhancing Urdu Reading and Writing
Skills",TR 1:00PM-2:50PM,Zahid Hussain,16W,4.0
LAW 101 LEC 1,Introduction to Legal Reasoning,MW 2:00PM-3:50PM,Maria Farooq,16W,4.0
LAW 101 LEC 2,Introduction to Legal Reasoning,MW 10:00AM-11:50AM,Madiha Talat,16W,4.0
